Brand,Name,Code,Hex Value,RGB Values,Color URL,LRV,Category
Benjamin Moore,Spectra Blue,2049-50,#98CED0,"152, 206, 208",https://www.benjaminmoore.com/en-us/paint-colors/color/2049-50,55.88,Blue
Benjamin Moore,Un-Teal We Meet Again,739,#7BC7CB,"123, 199, 203",https://www.benjaminmoore.com/en-us/paint-colors/color/739,50.28,Blue
Benjamin Moore,Harbor Side Blue,740,#5CB5B9,"92, 181, 185",https://www.benjaminmoore.com/en-us/paint-colors/color/740,40.31,Blue
Benjamin Moore,San Jose Blue,741,#2C9BA1,"44, 155, 161",https://www.benjaminmoore.com/en-us/paint-colors/color/741,28.06,Blue
Benjamin Moore,In the Tropics,CSP-640,#3B98A2,"59, 152, 162",https://www.benjaminmoore.com/en-us/paint-colors/color/CSP-640,27.81,Blue
Benjamin Moore,North Sea Green,2053-30,#236D73,"35, 109, 115",https://www.benjaminmoore.com/en-us/paint-colors/color/2053-30,14.81,Blue
Benjamin Moore,Sweet Dreams,847,#D6E7E2,"214, 231, 226",https://www.benjaminmoore.com/en-us/paint-colors/color/847,75.75,Blue
Benjamin Moore,Dolphin's Cove,722,#BCDDDD,"188, 221, 221",https://www.benjaminmoore.com/en-us/paint-colors/color/722,66.86,Blue
Benjamin Moore,Sea Isle,751,#A5D7DC,"165, 215, 220",https://www.benjaminmoore.com/en-us/paint-colors/color/751,61.73,Blue
Benjamin Moore,Tranquil Blue,2051-50,#94C2C5,"148, 194, 197",https://www.benjaminmoore.com/en-us/paint-colors/color/2051-50,48.8,Blue
Benjamin Moore,Seaside Resort,725,#6FAAB4,"111, 170, 180",https://www.benjaminmoore.com/en-us/paint-colors/color/725,36.93,Blue
Benjamin Moore,Blue Lake,2053-40,#569CA5,"86, 156, 165",https://www.benjaminmoore.com/en-us/paint-colors/color/2053-40,30.21,Blue
Benjamin Moore,Galápagos Turquoise,2057-20,#1F5763,"31, 87, 99",https://www.benjaminmoore.com/en-us/paint-colors/color/2057-20,9.45,Blue
Benjamin Moore,Seabrook,750,#B7DFE2,"183, 223, 226",https://www.benjaminmoore.com/en-us/paint-colors/color/750,68.46,Blue
Benjamin Moore,Blue Seafoam,2056-60,#AFE3E9,"175, 227, 233",https://www.benjaminmoore.com/en-us/paint-colors/color/2056-60,69.48,Blue
